Time,Boat,Trip,Lat,Lng,Speed (M/S),Range (Meters),Heading,Boat Name,Community
2018-04-05 00:09:31,2787,,-3.3796,10.66659,0.03,,14.01,Pelagic 402813 1,
2018-04-05 00:12:20,2787,,-3.37963,10.66654,0.04,,238.99,Pelagic 402813 1,
2018-04-05 00:12:28,2788,,-3.40562,10.66029,0.01,,116.61,Pelagic 392865 1,
2018-04-05 00:14:36,2787,,-3.37966,10.66654,0.07,,224.95,Pelagic 402813 1,
2018-04-05 00:14:50,2785,,-3.40516,10.66044,0.03,,11.29,Pelagic 397542,
2018-04-05 00:16:58,2787,,-3.37965,10.66654,0.06,,270,Pelagic 402813 1,
2018-04-05 00:18:13,2788,,-3.40563,10.66022,0,,224.95,Pelagic 392865 1,
2018-04-05 00:19:17,2787,,-3.37965,10.66655,0.06,,270,Pelagic 402813 1,
2018-04-05 00:20:35,2785,,-3.40534,10.66044,0.05,,270,Pelagic 397542,
2018-04-05 00:21:36,2787,,-3.37965,10.66656,0.07,,270,Pelagic 402813 1,
2018-04-05 00:24:16,2788,,-3.40563,10.66026,0.01,,270,Pelagic 392865 1,
2018-04-05 00:26:20,2785,,-3.4052,10.66039,0.03,,324.51,Pelagic 397542,
2018-04-05 00:27:28,2787,,-3.37965,10.66653,0.01,,270,Pelagic 402813 1,
2018-04-05 00:29:44,2788,,-3.40567,10.66024,0.02,,206.52,Pelagic 392865 1,
2018-04-05 00:41:19,2788,,-3.40562,10.66023,0,,333.48,Pelagic 392865 1,
2018-04-05 00:46:55,2788,,-3.40563,10.6602,0.01,,251.53,Pelagic 392865 1,
2018-04-05 00:49:23,2785,,-3.40521,10.66039,0,,270,Pelagic 397542,
2018-04-05 00:52:39,2788,,-3.40572,10.66025,0.03,,156.08,Pelagic 392865 1,
2018-04-05 01:00:55,2785,,-3.40522,10.66035,0.01,,296.61,Pelagic 397542,
2018-04-05 01:04:10,2788,,-3.40564,10.66025,0,,116.61,Pelagic 392865 1,
2018-04-05 01:06:40,2785,,-3.40526,10.66038,0.02,,143.18,Pelagic 397542,
2018-04-05 01:10:01,2788,,-3.40564,10.66027,0.01,,90,Pelagic 392865 1,
2018-04-05 01:12:19,2785,,-3.40525,10.66033,0.02,,281.33,Pelagic 397542,
2018-04-05 01:15:37,2788,,-3.40565,10.66018,0.03,,263.65,Pelagic 392865 1,
2018-04-05 01:18:07,2785,,-3.40526,10.66032,0.03,,224.95,Pelagic 397542,
2018-04-05 01:23:58,2785,,-3.40524,10.66035,0.01,,56.26,Pelagic 397542,
2018-04-05 01:27:08,2788,,-3.40555,10.6602,0.01,,348.71,Pelagic 392865 1,
2018-04-05 01:32:58,2788,,-3.40571,10.66033,0.04,,108.47,Pelagic 392865 1,
2018-04-05 01:38:37,2788,,-3.40559,10.66024,0.05,,323.18,Pelagic 392865 1,
2018-04-05 01:41:01,2785,,-3.40525,10.66038,0,,108.47,Pelagic 397542,
2018-04-05 01:44:21,2788,,-3.40561,10.66023,0.01,,206.52,Pelagic 392865 1,
2018-04-05 01:46:46,2785,,-3.40524,10.66038,0,,0,Pelagic 397542,
