Nom Pirogue	Immatriculation	Type de pirogue
 	PG. 087/08	bois
 	PG. 398/13	bois
 	PG. 346/94	bois
Leonie Express	PG. 660/17	plastique
 	PG. 474/96	bois
 	PG. 585/98	bois
 	PG. 442/96	bois
 	PG. 630/17	bois
 	PG. 426/95	bois
 	PG. 594/16	bois
	OMB. 171/14	plastique
SAINTE ANNE	PG. 3936	plastique
OSSOLINA	PG. 596/16	bois
ONGUEDJO MPOMA	OMB. 171/16	plastique
 	PG. 338/94	bois
 	PG. 614/99	bois
NGOUMBI	PG. 604/16	plastique
 	PG. 611/16	plastique
CHRISTI	PG. 603/16	plastique
 	PG. 436/14	plastique
 	PG. 009/91	bois
 	PG. 008/05	bois
 	PG. 179/09	bois
PABLO	PG. 121/08	bois
LA MARINA	PG. 511/14	bois
NDJALOGUERA	PG. 618/16	bois
MOJOR IV	OW. 044/13	bois
 	PG.563/16	bois
ODEMBET VILLAGE 3	PG. 212/93	plastique
XERXES LE BEAU	PG. 723/2000	plastique
J'ARRIVE	PG. 588/16	plastique
BATONOIR	PG. 552/16	plastique
	PG. 586/16	bois
ANENGUE	PG. 485/96	plastique
	PG. 612/16	bois
	PG. 546/16	plastique
	PG. 598/16	plastique
ALEPH	PG. 557/16	plastique
VAYE	PG. 558/16	plastique
DIEU NOUS PROTEGE	PG. 616/16	plastique
	PG. 456/96	plastique
	L. 002/15	plastique
J'ARRIVE	PG. 588/16	plastique
LA MARINA	PG. 608/16	plastique
KUY	PG. 626/16	plastique
ISSAPE 2	PG. 556/16	plastique
SYLVIE ET PHILIPPE	PG. 627/17	plastique
RANDET	PG. 629/17	plastique
RANDET 1	PG. 628/17	plastique
	PG. 623/16	plastique
	PG. 138/02	plastique
	PG. 622/16	bois
	PG 626/16	plastique
	PG. 100/08	bois
	PG. 106/92	bois
GRACE DIVINE	LA 214 A	plastique
 	PG 584/16	bois
	PG 110/08	plastique
SATHE	PG. 102/08	plastique
	PG 161/09	plastique
	PG 638/17	plastique
	PG 621/16	bois
AYOYI	PG. 654/17	plastique
	PG 640/17	plastique
	PG. 286/11	plastique
Noel Express	PG. 593/16	plastique
	PG 641/17	plastique
	OMB. 173/17	plastique
	PG.646/17	plastique
	PG.645/17	plastique
MOUL	PG. 647/17	plastique
OGUEGUENI WI TCHOUWA	OMB. 098/16	plastique
JACQUES	PG. 205/10	plastique
	PG. 695 A	plastique
	PG. 649/17	plastique
	PG. 996/06	plastique
	PG. 121/08	plastique
	PG. 644/17	bois
EYENO	PG. 653/17	plastique
	PG. 387/13	plastique
	PG. 385/13	bois
SOS	PG. 815 A	plastique
	PG. 652/17	bois
	PG. 665/17	bois
	PG. 446/14	bois
AYOYI	PG. 654/17	plastique
	PG.656/17	plastique
	PG. 099/12	plastique
LE PATRIOTE	PG. 585/16	plastique
IPIKILIA S'OREMA	PG. 687 A	plastique
 	PG. 258/11	plastique
 	OMB. 175/17	bois
	PG. 398/17	plastique
 	PG. 665/17	bois
	PG. 012/91	bois
	PG. 012/91	bois
	PG. 583/18	bois
	OMB. 139/14	plastique
	PG. 518/15	plastique
	PG. 531/17	plastique
	PG. 414/13	plastique
	PG. 679/17	plastique
	PG. 682/17	bois
	PG. 665/17	plastique
	PG. 721/00	plastique
	PG. 608/16	plastique
	PG. 681/17	bois
Roan	MYB. 114/17	plastique
DIEU EST LA	MYB. 127/12	plastique
ALASKA MERVEILLE	MYB. 152/15	plastique
MORE TIME	MYB. 151/15	plastique
PAS A PAS 	MYB. 162/16	plastique
DIBOTI I	MYB. 141/13	plastique
DIBOTI II	MYB. 060/02	plastique
DIEU MERCI	MYB. 104/09	plastique
EXPERIENCE	MYB. 161/16	plastique
QUI VIT SANS DEFAUT	MYB. 073/04	plastique
SEA NEVER DRY I	MYB. 088/06	plastique
 MWANE BWALE	MYB. 147/ 14	plastique
PETIT A PETIT I	MYB. 067/02	plastique
PETIT A PETIT II	MYB. 145/14	plastique
GRACE DE DIEU	MYB. 094/07	plastique
DIEU NE DORT PAS	MYB. 122/12	plastique
ALASKA	MYB. 134/13	plastique
ALAFIA	MYB. 059/02	plastique
OCEAN	MYB. 156/15	plastique
ABLA	MYB. 115/11	plastique
TOUT CE QUE DIEU FAIT EST BON	MYB. 167/17	
TOUT EST BON	MYB. 169/2017	
YA QUE TOI SEIGNEUR	MYB. 120/11	
DU COURAGE	MYB. 097/08	
ELEAMAWUSSI	MYB. 121/12	plastique
DIEU N OUBLIE PERSONNE	MYB. 106/09	plastique
MILAN AC	MYB. 140/13	plastique
AGBEKO	MYB. 084/06	plastique
ELAVAGNON	MYB. 058/02	bois
TOUJOURS AVEC TOI	MYB. 156/16	plastique
LA MAIN TENDUE RECOIT	MYB. 108/10	plastique
QUE DIEU NOUS PROTEGE	MYB. 131/12	plastique
CAMELEON II	MYB. 006/95	plastique
MAGALI II	MYB. 087/06	plastique
CAMELEON I	MYB. 004/00	plastique
MANDELA	MYB. 040/12	plastique
DIEU NE DORT PAS	MYB. 130/12	plastique
DIEU EST AVEC NOUS	MYB. 168/2017	plastique
Esperance 1	AK. 003/16	bois
Oripanye	CC. 001/00	bois
La Joie De Dieu	CC. 005/00	bois
Bafana Bafana	CC. 007/00	bois
Mawulolo 1	CC. 008/00	bois
Semassa	CC. 009/00	bois
Keta Lagoon	CC. 013/00	bois
Ayole 1	CC. 019/07	bois
Patience 2	CC. 021/00	bois
Patience 1	CC. 050/01	bois
Zoblazo	CC. 061/02	bois
Magnaba 	CC. 064/02	bois
Nomolose	CC. 065/03	bois
Indipere	CC. 071/02	bois
God  Power	CC. 072/02	bois
Le Ciel	CC. 090/03	bois
Mini 1	CC. 112/02	bois
Ebinem	CC. 114/04	bois
Kingnon	CC. 122/05	bois
Happiness	CC. 130/05	bois
Ogolowa 1	CC. 131/05	bois
Ireoluwa	CC. 137/05	bois
Alie	CC. 139/05	bois
Ayenu 	CC. 143/06	bois
God Day	CC. 145/06	bois
Total	CC. 149/06	bois
Maria 1	CC. 152/06	bois
Obowadu	CC. 153/06	bois
Olaposi 1	CC. 160/06	bois
Abraham	CC. 165/07	bois
Fidelis	CC. 169/07	bois
Osmosis	CC. 176/07	bois
Grace Divine	CC. 183/07	bois
God Day	CC. 219/08	bois
Mini 2	CC. 239/05	bois
La Joie 	CC. 243/09	bois
Sir Peter Marine	CC. 245/09	bois
Tout Est Bon	CC. 251/09	bois
Maria 2	CC. 252/09	bois
Revelation	CC. 267/10	bois
Okemba	CC. 284/10	bois
Mba ossa	CC. 290/10	bois
Etodi I	CC. 307/10	bois
Etodi 2	CC. 311/11	bois
Keta Lagoon	CC. 340/11	bois
Ayole 2	CC. 346/12	bois
Rose	CC. 351/12	bois
larisa	CC. 356/12	bois
Venez Voir	CC. 357/12	bois
Mazinger 1	CC. 366/12	bois
Michael	CC. 382/12	bois
Mazda	CC. 386/13	bois
La Volonte De Dieu	CC. 387/13	bois
Delmas	CC. 389/13	bois
Pesquare	CC. 390/13	bois
OSS KAMA	CC. 393/13	bois
L'heure de Dieu	CC. 400/13	bois
Biberon	CC. 401/13	bois
Keta Lagoon 4	CC. 408/13	bois
Nanda	CC. 409/13	bois
Gloire A Dieu	CC. 410/13	bois
Olu	CC. 424/14	bois
Dieu Est Bon	CC. 426/14	bois
Godwin	CC. 426/14	bois
Olododo	CC. 427/14	bois
Ogolowa 3	CC. 430/14	bois
Emilie	CC. 433/14	bois
Liberation	CC. 439/14	bois
Laja	CC. 443/14	bois
Olaposi 2	CC. 447/14	bois
Nanda 2	CC. 451/14	bois
Oss-kama 2	CC. 452/14	bois
La Maison Blanche	CC. 461/15	bois
Tunde	CC. 465/05	bois
Omo Jesu	CC. 467/15	bois
God Time	CC. 473/15	bois
Taye 1	CC. 474/15	bois
Helen	CC. 477/15	bois
Magnaba 1	CC. 487/15	bois
Merci Dieu	CC. 488/15	bois
Temitokwe	CC. 495/15	bois
Dieudonne 2	CC. 496/15	bois
Amarachi	CC. 507/16	bois
Dolphin	CC. 511/16	bois
EDENEZE	CC. 512/16	bois
Temitokwe	CC. 521/17	bois
Tomi	AK. 020/17	bois
Dorcas	AK. 023/17	bois
Doussala	AK. 024/17	bois
Ndegawane-Cotisso	CC. 095/04	bois
Imole 	CC. 099/04	bois
Fifon Mibio	CC. 100/04	bois
Atiritara	CC. 120/05	bois
Qui Vivra Verra	CC. 140/05	bois
L'Homme Propose Dieu Dispose	CC. 151/06	bois
Bbc	CC. 162/07	bois
La Semence	CC. 163/07	bois
Dieu D'Amour	CC. 166/07	bois
Abiola Benson 	CC. 170/07	bois
Courage 1	CC. 192/08	bois
Espoir	CC. 197/08	bois
Atiritara 2	CC. 201/08	bois
Cooper	CC. 207/08	bois
Oluwa Seun  	CC. 218/08	bois
God Win	CC. 231/09	bois
Hamelo 2	CC. 263/10	bois
Bekale 5	CC. 269/10	bois
Qui Ca Gene 	CC. 281/10	bois
Merci Mon Dieu	CC. 300/10	bois
Bebe	CC. 330/11	bois
Bekale 4	L. 271/08	bois
Ola Oluwa	CC. 334/11	bois
Princess	CC. 336/11	bois
Sogapa 8	CC. 345/12	bois
Hamelo 3	CC. 350/09	bois
Lea	CC. 382/12	bois
Marie Claire	CC. 385/13	bois
Aime	CC. 397/13	bois
Mimo 2	CC. 420/13	bois
Oiseau 2	CC. 429/14	bois
Ocean	CC. 454/14	bois
Durutimi	CC. 486/15	bois
La Lumiere De Dieu	CC. 519/17	bois
Capal  3	KG. 001/17	plastique
Les Aigles	KG. 004	bois
Justice 1	KG. 012/14	bois
Emmanuel	KG. 014/14	bois
Vidav 6	KG. 018	bois
Vidav 5	KG. 019	bois
Ephrem	KG. 020/14	bois
Vidav 2	KG. 021	bois
Sharp	KG. 022/14	bois
Adeola	KG. 023/14	bois
Ladi	KG. 024/14	bois
Irede	KG. 028	bois
Justice 2	KG. 032/14	bois
Vidav 4 	KG. 033	bois
Agbo-Ola	KG. 036	bois
Vidav 1	KG. 037	bois
Iyanu	KG. 039	bois
Ope Oluwa	KG. 040/14	bois
La Vie	KG. 041/14	bois
Ademola	KG. 042	bois
Ayo	KG. 043/14	bois
Alade	KG. 044/14	bois
Vidav 3	KG. 046/14	bois
Grace À Dieu 2	KG. 047/14	bois
Awayino	KG. 048/14	bois
Bella	L. 001/03	bois
Olivier Charles	L. 002/01	bois
Akouavi	L. 002/05	bois
God Is With Me 1	L. 002/93	bois
No Cry Fabi	L. 002/98	bois
David 2	L. 003/06	bois
La Martine 2	L. 003/16	plastique
Comlan Delmas	L. 003/98	bois
Boudy	L. 004/02	plastique
Si Dieu Le Veut	L. 005/98	bois
Seho	L. 006/05	bois
Justine Est La	L. 006/12	bois
Helico 2	L. 006/13	bois
Femme Sage 1	L. 006/14	bois
Keke	L. 007/02	bois
Kalli	L. 007/15	plastique
Christ	L. 007/16	bois
Godwill 1	L. 009/12	bois
Habla Ficherman	L. 009/95	bois
Emmanuel	L. 010/06	bois
Alarmekei	L. 010/17	bois
Alafia	L. 010/98	bois
Seun	L. 011/00	bois
Air Minvoul	L. 012/12	bois
